K,C,Y,X,R,S,sp1,spC2,spC4,spC8,scC16,spW2,spW4,spW8,spW16
64,3,224,224,7,7,0.051493,0.051493,0.051493,0.051493,0.051493,0.051274,0.042885,0.026093,0.026138
64,64,56,56,1,1,0.236586,0.074146,0.058828,0.111111,0.2,0.249189,0.256647,0.281234,0.155063
64,64,56,56,3,3,0.430476,0.221361,0.116047,0.11517,0.2,0.401263,0.360477,0.344198,0.203398
256,64,56,56,1,1,0.384873,0.164085,0.096069,0.116877,0.2,0.249189,0.256647,0.281234,0.155063
256,64,56,56,1,1,0.236586,0.074146,0.058828,0.111111,0.2,0.376202,0.360136,0.361923,0.23097
64,256,56,56,1,1,0.415816,0.200459,0.057438,0.034451,0.058904,0.374095,0.325331,0.31037,0.169325
64,64,56,56,3,3,0.500743,0.266607,0.103612,0.114698,0.200055,0.439388,0.366112,0.321771,0.157203
256,64,56,56,1,1,0.473204,0.252208,0.094356,0.111214,0.2,0.41501,0.343706,0.303715,0.143672
64,256,56,56,1,1,0.297944,0.096398,0.023244,0.030359,0.058824,0.229618,0.171367,0.175217,0.034137
64,64,56,56,3,3,0.571044,0.350792,0.164149,0.123957,0.20003,0.4675,0.361709,0.302986,0.138096
256,64,56,56,1,1,0.527818,0.299242,0.131422,0.115422,0.200069,0.35927,0.202267,0.176261,0.034788
128,256,56,56,1,1,0.287535,0.091596,0.021351,0.03042,0.058824,0.221649,0.159907,0.161687,0.021536
128,128,28,28,3,3,0.516268,0.275342,0.087528,0.063547,0.111128,0.433736,0.355589,0.178777,0.087363
512,256,56,56,1,1,0.287535,0.091596,0.021351,0.03042,0.058824,0.416032,0.354325,0.182729,0.09589
512,128,28,28,1,1,0.473761,0.241374,0.081506,0.062776,0.111112,0.221649,0.159907,0.161687,0.021536
128,512,28,28,1,1,0.565929,0.320785,0.11055,0.025408,0.030364,0.471086,0.374322,0.189208,0.089286
128,128,28,28,3,3,0.638324,0.420288,0.194893,0.088548,0.111796,0.540038,0.435658,0.247454,0.126029
512,128,28,28,1,1,0.632183,0.418829,0.190536,0.082094,0.11173,0.52867,0.400215,0.194185,0.075133
128,512,28,28,1,1,0.514981,0.271181,0.081,0.021809,0.03034,0.424468,0.330921,0.145339,0.062239
128,128,28,28,3,3,0.642156,0.429823,0.203899,0.096877,0.111123,0.592854,0.52782,0.367929,0.23924
512,128,28,28,1,1,0.649335,0.441772,0.216563,0.09011,0.112556,0.590826,0.519357,0.356225,0.22955
128,512,28,28,1,1,0.535267,0.291218,0.088197,0.022532,0.030374,0.448699,0.353728,0.16194,0.064343
128,128,28,28,3,3,0.719783,0.524241,0.288281,0.142248,0.120454,0.622314,0.502673,0.302395,0.147572
512,128,28,28,1,1,0.486691,0.247219,0.083546,0.061767,0.111112,0.423921,0.339363,0.151027,0.055327
256,512,28,28,1,1,0.308743,0.102886,0.018796,0.0156,0.030303,0.266922,0.226225,0.061788,0.017961
256,256,14,14,3,3,0.549911,0.312451,0.103335,0.038234,0.058881,0.478918,0.289481,0.149074,0.064058
1024,512,28,28,1,1,0.308743,0.102886,0.018796,0.0156,0.030303,0.534536,0.355496,0.207729,0.100731
1024,256,14,14,1,1,0.585602,0.34312,0.124421,0.042111,0.058887,0.266922,0.226225,0.061788,0.017961
256,1024,14,14,1,1,0.621914,0.389583,0.156283,0.031722,0.015932,0.548939,0.360079,0.197598,0.091626
256,256,14,14,3,3,0.648148,0.424192,0.186178,0.06059,0.059422,0.591622,0.422248,0.269304,0.151403
1024,256,14,14,1,1,0.720459,0.520902,0.273809,0.099374,0.064005,0.672959,0.523597,0.364041,0.22309
