K,C,Y,X,R,S,sp1,sp2,sp4,sp8,sp16,T
64,3,224,224,7,7,0.948506616,0.948506616,0.948506616,0.948506616,0.948506616,1
64,64,56,56,1,1,0.763414384,0.925853953,0.941172297,0.888888889,0.8,1
64,64,56,56,3,3,0.569524266,0.778638589,0.883952985,0.884829899,0.79999999,1
256,64,56,56,1,1,0.615127078,0.835915058,0.903930755,0.883123007,0.8,1
256,64,56,56,1,1,0.763414384,0.925853953,0.941172297,0.888888889,0.8,1
64,256,56,56,1,1,0.584183658,0.799540573,0.942561746,0.965548752,0.941096341,1
64,64,56,56,3,3,0.499256731,0.733393176,0.89638758,0.885302386,0.799945273,1
256,64,56,56,1,1,0.526796104,0.747791753,0.905644165,0.888785647,0.8,1
64,256,56,56,1,1,0.702055723,0.903601538,0.976756068,0.969641018,0.941176471,1
64,64,56,56,3,3,0.428956474,0.649208379,0.83585084,0.876042824,0.799970016,1
256,64,56,56,1,1,0.472181855,0.700757835,0.868577979,0.884577548,0.799930833,1
128,256,56,56,1,1,0.71246543,0.908403672,0.978649151,0.9695803,0.941176471,1
128,128,56,56,3,3,0.483731942,0.724658295,0.912472334,0.936452651,0.888872236,1
512,128,28,28,1,1,0.526239138,0.758626407,0.91849392,0.93722389,0.888887915,1
512,256,56,56,1,1,0.71246543,0.908403672,0.978649151,0.9695803,0.941176471,1
128,512,28,28,1,1,0.434071097,0.679215122,0.889449933,0.974592428,0.969636045,1
128,128,28,28,3,3,0.361675641,0.579712446,0.80510677,0.911452382,0.888203966,1
512,128,28,28,1,1,0.367816758,0.581171026,0.809464098,0.917906076,0.888270045,1
128,512,28,28,1,1,0.485019392,0.728818829,0.91900037,0.978191465,0.969659779,1
128,128,28,28,3,3,0.35784364,0.570176664,0.796101239,0.903122843,0.888877418,1
512,128,28,28,1,1,0.350664721,0.558227771,0.78343721,0.90989048,0.88744351,1
128,512,28,28,1,1,0.464732714,0.708782348,0.911802732,0.977467563,0.969626068,1
128,128,28,28,3,3,0.280217042,0.475758564,0.7117191,0.857751808,0.879545577,1
512,128,28,28,1,1,0.513309138,0.752781195,0.916454378,0.938233149,0.888887804,1
256,512,28,28,1,1,0.691257494,0.897113929,0.981204327,0.984399642,0.969696861,1
256,256,28,28,3,3,0.450089373,0.687548814,0.896664651,0.961766195,0.941119354,1
1024,256,14,14,1,1,0.414397757,0.656880302,0.875578787,0.957889006,0.941113211,1
1024,512,28,28,1,1,0.691257494,0.897113929,0.981204327,0.984399642,0.969696861,1
256,1024,14,14,1,1,0.378085969,0.610417097,0.84371698,0.968277814,0.984067921,1
256,256,14,14,3,3,0.351851925,0.575807656,0.813822471,0.93940998,0.940578388,1
1024,256,14,14,1,1,0.279540785,0.479097552,0.726190542,0.900625797,0.935995414,1
256,1024,14,14,1,1,0.404950634,0.641830982,0.865144984,0.973145912,0.984104261,1
256,256,14,14,3,3,0.233555899,0.405129974,0.642594559,0.851065341,0.923864561,1
1024,256,14,14,1,1,0.326753194,0.541653689,0.776609682,0.922159139,0.938332364,1
256,1024,14,14,1,1,0.382040685,0.614753187,0.848400451,0.968676238,0.983953738,1
256,256,14,14,3,3,0.229031033,0.402646764,0.63186287,0.837534086,0.918500947,1
1024,256,14,14,1,1,0.275750138,0.471511307,0.712725802,0.891068602,0.93293569,1
256,1024,14,14,1,1,0.384251473,0.61879109,0.8501646,0.96869128,0.983780845,1
256,256,14,14,3,3,0.176072973,0.314815057,0.514670747,0.741404487,0.875546406,1
1024,256,14,14,1,1,0.4092659,0.642149871,0.853324715,0.949833531,0.94064418,1
256,1024,14,14,1,1,0.390100757,0.624146097,0.853105818,0.96821813,0.983554307,1
256,256,14,14,3,3,0.196364108,0.345178553,0.540075059,0.748489318,0.871198558,1
1024,256,14,14,1,1,0.460490944,0.698330379,0.899194552,0.96149626,0.941091171,1
512,1024,14,14,1,1,0.547289879,0.791306156,0.951958066,0.990006198,0.98459716,1
512,512,14,14,3,3,0.244912819,0.427055619,0.663586433,0.874106701,0.955762021,1
2048,512,7,7,1,1,0.230764272,0.405445548,0.639609709,0.856381427,0.952277076,1
2048,1024,14,14,1,1,0.547289879,0.791306156,0.951958066,0.990006198,0.98459716,1
512,2048,7,7,1,1,0.242878552,0.42417696,0.662899274,0.877495918,0.974642041,1
512,512,7,7,3,3,0.201420631,0.357958005,0.577724302,0.802911892,0.932340368,1
2048,512,7,7,1,1,0.172608649,0.313121985,0.521367738,0.754627943,0.910935761,1
512,2048,7,7,1,1,0.219206552,0.384274465,0.605937929,0.819019731,0.939876528,1
512,512,7,7,3,3,0.156925485,0.279028974,0.460350592,0.674365875,0.850235196,1
2048,512,7,7,1,1,0.222860145,0.38756756,0.604857271,0.813093946,0.926177624,1
